company,source,author,title,description,url,published_at,content,cleaned_content,date,vader_sentiment_label,vader_sentiment_score,finbert_sentiment_label,finbert_sentiment_score
JPMorgan Chase,Livemint,list.metadata.agency,Dollar Rally Hits ‘Choppy Waters’ as Two-Way Trading Returns,"Some key market metrics are starting to suggest the Trump-inspired rally in the dollar may have plateaued, as bullishness fueled by the US election wanes.",https://www.livemint.com/companies/news/dollar-rally-hits-choppy-waters-as-two-way-trading-returns-11732070637902.html,2024-11-20 02:43:57+00:00,"(Bloomberg) -- Some key market metrics are starting to suggest the Trump-inspired rally in the dollar may have plateaued, as bullishness fueled by the US election wanes.  
 Bloombergs gauge of the c… [+3762 chars]",bloomberg key market metrics starting suggest trump inspired rally dollar may plateaued bullishness fueled us election wanes bloombergs gauge chars,2024-11-20,positive,0.4939,neutral,0.0
JPMorgan Chase,Financial Post,Bloomberg News,Asian Stocks to Tread Cautiously Ahead of Nvidia: Markets Wrap,Stocks in Asia were poised for a sluggish start as traders assess heightened geopolitical risks while awaiting the latest earnings from the world’s most valuable company. Bitcoin extended its post-election rally.,https://financialpost.com/pmn/business-pmn/asian-stocks-to-tread-cautiously-ahead-of-nvidia-markets-wrap,2024-11-19 23:05:14+00:00,(Bloomberg) Stocks in Asia were poised for a sluggish start as traders assess heightened geopolitical risks while awaiting the latest earnings from the worlds most valuable company. Bitcoin extended … [+3078 chars],bloomberg stocks asia poised sluggish start traders assess heightened geopolitical risks awaiting latest earnings worlds valuable company bitcoin extended chars,2024-11-19,positive,0.0772,neutral,0.0
JPMorgan Chase,Livemint,list.metadata.agency,Embattled FDIC Chair to Leave Agency on Eve of Inauguration,"Martin Gruenberg, the head of the Federal Deposit Insurance Corp., will step down on Jan. 19.",https://www.livemint.com/companies/news/embattled-fdic-chair-to-leave-agency-on-eve-of-inauguration-11732039271599.html,2024-11-19 18:01:11+00:00,"(Bloomberg) -- Martin Gruenberg, the head of the Federal Deposit Insurance Corp., will step down on Jan. 19. 
 It has been the greatest honor of my career to serve at the FDIC, Gruenberg said in a m… [+1877 chars]",bloomberg martin gruenberg head federal deposit insurance corp step jan greatest honor career serve fdic gruenberg said chars,2024-11-19,positive,0.8126,neutral,0.0
JPMorgan Chase,Finextra,Editorial Team,"Governance, Risk and Compliance: How AI will Make Fintech Comply?","Governance, Risk and Compliance: How AI will Make Fintech Comply?  AI enhances governance, risk, a",https://www.finextra.com/blogposting/27235/governance-risk-and-compliance-how-ai-will-make-fintech-comply,2024-11-19 16:00:52+00:00,"AIs Role in Financial GRC
Artificial Intelligence (AI) is reshaping Governance, Risk, and Compliance (GRC) in financial services, offering unprecedented opportunities to streamline operations, enhan… [+19660 chars]",ais role financial grc artificial intelligence ai reshaping governance risk compliance grc financial services offering unprecedented opportunities streamline operations enhan chars,2024-11-19,positive,0.5574,positive,0.9999933242797852
JPMorgan Chase,Quartz India,Rocio Fabbro,The Dow drops 200 points as Putin rattles Russia's nuclear saber,"Dow futures plunged more than 200 points Tuesday morning after Russian President Vladimir Putin lowered the bar for the use of nuclear weapons, just days after President Joe Biden signed off on the use of American-made long-rage missiles by Ukraine.Read more.…",https://qz.com/djia-sp-500-nasdaq-markets-putin-nuclear-russia-biden-1851702586,2024-11-19 13:18:32+00:00,"In This Story
Dow futures plunged more than 200 points Tuesday morning after Russian President Vladimir Putin lowered the bar for the use of nuclear weapons, just days after President Joe Biden sign… [+1988 chars]",story dow futures plunged points tuesday morning russian president vladimir putin lowered bar use nuclear weapons days president joe biden sign chars,2024-11-19,negative,-0.5267,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"Huntington National Bank Sells 588 Shares of Moderna, Inc. (NASDAQ:MRNA)","Huntington National Bank reduced its position in shares of Moderna, Inc. (NASDAQ:MRNA – Free Report) by 32.8% in the third quarter, according to the company in its most recent filing with the SEC. The institutional investor owned 1,204 shares of the company’s…",https://www.etfdailynews.com/2024/11/19/huntington-national-bank-sells-588-shares-of-moderna-inc-nasdaqmrna/,2024-11-19 12:46:48+00:00,"Huntington National Bank reduced its position in shares of Moderna, Inc. (NASDAQ:MRNA – Free Report) by 32.8% in the third quarter, according to the company in its most recent filing with the SEC. Th… [+5812 chars]",huntington national bank reduced position shares moderna inc nasdaq mrna free report third quarter according company recent filing sec th chars,2024-11-19,positive,0.6705,neutral,0.0
JPMorgan Chase,pymnts.com,PYMNTS,JPMorgan UK Digital Bank Debuts First Credit Card,"J.P. Morgan’s digital-only bank Chase UK has reportedly introduced its first credit card. The move comes after the banking giant’s British venture took in upwards of £20 billion in deposits in three years, the Financial Times (FT) reported Tuesday (Nov. 19). …",https://www.pymnts.com/news/digital-banking/2024/jpmorgan-uk-digital-bank-debuts-first-credit-card/,2024-11-19 11:55:35+00:00,"J.P. Morgan’s digital-only bank Chase UK has reportedly introduced its first credit card.
The move comes after the banking giant’s British venture took in upwards of £20 billion in deposits in three… [+2318 chars]",j morgan digital bank chase uk reportedly introduced first credit card move comes banking giant british venture took upwards billion deposits three chars,2024-11-19,positive,0.3818,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"CIBC Asset Management Inc Buys 2,483 Shares of Hologic, Inc. (NASDAQ:HOLX)","CIBC Asset Management Inc boosted its stake in Hologic, Inc. (NASDAQ:HOLX – Free Report) by 7.9% during the 3rd quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor owned 33,973 shar…",https://www.etfdailynews.com/2024/11/19/cibc-asset-management-inc-buys-2483-shares-of-hologic-inc-nasdaqholx/,2024-11-19 11:44:54+00:00,"CIBC Asset Management Inc boosted its stake in Hologic, Inc. (NASDAQ:HOLX – Free Report) by 7.9% during the 3rd quarter, according to the company in its most recent filing with the Securities &amp; E… [+4737 chars]",cibc asset management inc boosted stake hologic inc nasdaq holx free report rd quarter according company recent filing securities amp chars,2024-11-19,positive,0.8591,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"Bretton Capital Management LLC Acquires Shares of 24,000 JPMorgan Chase & Co. (NYSE:JPM)","Bretton Capital Management LLC bought a new position in shares of JPMorgan Chase & Co. (NYSE:JPM) during the third quarter, Holdings Channel.com reports. The firm bought 24,000 shares of the financial services provider’s stock, valued at approximately $5,061,…",https://www.etfdailynews.com/2024/11/19/bretton-capital-management-llc-acquires-shares-of-24000-jpmorgan-chase-co-nysejpm/,2024-11-19 11:42:53+00:00,"Bretton Capital Management LLC bought a new position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) during the third quarter, Holdings Channel.com reports. The firm bought 24,000 shares of the fina… [+5936 chars]",bretton capital management llc bought new position shares jpmorgan chase amp co nyse jpm third quarter holdings channel com reports firm bought shares fina chars,2024-11-19,positive,0.5267,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Planning Capital Management Corp Cuts Stake in JPMorgan Chase & Co. (NYSE:JPM),"Planning Capital Management Corp decreased its holdings in JPMorgan Chase & Co. (NYSE:JPM – Free Report) by 37.0% in the third quarter, according to its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 1,846 s…",https://www.etfdailynews.com/2024/11/19/planning-capital-management-corp-cuts-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-19 11:42:52+00:00,"Planning Capital Management Corp decreased its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM – Free Report) by 37.0% in the third quarter, according to its most recent disclosure with the Securities… [+5254 chars]",planning capital management corp decreased holdings jpmorgan chase amp co nyse jpm free report third quarter according recent disclosure securities chars,2024-11-19,positive,0.6705,neutral,0.0
